Sample	Mapping_rate	Unique_rate	Mismatch_rate	depth	Coverage
HGSHC001	56.36	88.13	0.75	4.43	71.07
HGSHC002	56.54	88.37	0.75	4.32	70.86
HGSHC003	61.09	89.17	0.76	4.53	72
HGSHC004	61.87	91	0.75	6.41	78.74
HGSHC005	63.29	92.82	0.68	4.66	94.56
HGSHC006	63.96	92.64	0.64	6.32	96.13
HGSHC007	65.16	92.36	0.64	5.71	95.63
HGSHC008	66.92	92.6	0.63	5.84	95.65
HGSHC009	68.97	93.29	0.64	6.57	96.28
HGSHC010	69.27	92.93	0.63	8.29	97.22
HGSHC011	69.47	92.26	0.75	6.36	78.41
HGSHC012	69.66	93.25	0.69	7.12	96.83
HGSHC013	70.93	93.88	0.66	8.01	97.26
HGSHC014	71.35	94.12	0.66	6.6	96.29
HGSHC015	71.49	93.92	0.65	5.53	95.5
HGSHC016	71.89	93.97	0.67	8.23	97.33
HGSHC017	71.92	93.82	0.7	7.31	97.11
HGSHC018	71.98	93.75	0.66	8.43	97.33
HGSHC019	72.52	94.1	0.65	7.63	96.85
HGSHC020	72.71	94.11	0.69	6.65	96.86
HGSHC021	73.39	93.66	0.7	7.03	97.01
HGSHC022	73.87	94.17	0.7	7.72	97.15
HGSHC023	74	93.07	0.81	4.81	75.31
HGSHC024	74.06	94.33	0.66	7.58	97.14
HGSHC025	74.96	94.36	0.65	7.1	96.43
HGSHC026	75.74	94.34	0.64	9.55	97.05
HGSHC027	75.85	94.5	0.67	6.99	96.59
HGSHC028	76.01	94.46	0.67	7.79	96.9
HGSHC029	76.08	94.49	0.67	6.96	96.55
HGSHC030	76.46	94.83	0.66	7.83	96.78
HGSHC031	78.37	94.96	0.68	10.37	97.66
HGSHC032	78.66	93.69	0.69	10.04	97.55
HGSHC033	78.74	94.96	0.64	8.65	96.92
HGSHC034	80.24	95.2	0.66	7.26	96.74
HGSHC035	82.59	95.86	0.68	6.47	96.21
HGSHC036	82.91	96.06	0.66	8.31	96.8
HGSHC037	82.98	95.42	0.67	7.71	96.74
HGSHC038	84.09	96.2	0.68	8.1	96.78
HGSHC039	84.19	95.64	0.66	8.65	97
HGSHC040	84.57	96.08	0.66	9.1	96.63
HGSHC041	85.35	95.72	0.66	8.98	97.02
HGSHC042	85.9	96.45	0.67	6.99	96.2
HGSHC043	87.06	96.61	0.67	9.15	96.65
HGSHC044	87.18	96.35	0.69	5.54	95.41
HGSHC045	87.3	94.89	0.74	9.96	97.72
HGSHC046	88.27	96.79	0.67	9.07	96.98
HGSHC047	88.42	96.97	0.67	8.88	96.87
